variant,model,n_features,recall,fp_rate,latency_ms_per_1k
ไม่มี Port (ปัจจุบัน),DecisionTree,65,0.9998910932423357,0.0005845816587504567,0.1250624016946464
ไม่มี Port (ปัจจุบัน),RandomForest,65,0.9954077650518215,7.307270734380708e-05,0.9690871376484331
ไม่มี Port (ปัจจุบัน),XGBoost,65,0.9995825240956201,7.307270734380708e-05,0.24188026684455555
มี Port,DecisionTree,67,0.9998547909897809,0.00043843624406284253,0.13630689835420315
มี Port,RandomForest,67,0.9965331348810194,7.307270734380708e-05,0.852748454469637
มี Port,XGBoost,67,0.999764035358394,7.307270734380708e-05,0.2415495043376567
