attack_class,support,raw,no_id,no_const,no_port,no_dup,no_expensive,shap_top15
BFA,295,0.0,0.0222713751811456,0.026137899954934655,0.022279871814436136,0.024649251995969304,0.025201841092582812,0.02652805162215451
DDoS,73529,0.9950604667007324,0.9964925210175783,0.9965130640681829,0.9965199115648116,0.996478825183224,0.9965199115648116,0.9963419960690107
DoS,1145,0.027475538160469666,0.03688025821472036,0.03262757735203041,0.03031831831831832,0.03202198076682902,0.030241545893719808,0.02756119673617407
Normal,34212,0.8397952796494716,0.9959378594412008,0.9949962180717985,0.9930754155476519,0.9675539588696218,0.9927003062098191,0.9911889165845458
Probe,61757,0.014398431599415064,0.35265381568523896,0.3521678875470204,0.27353859883980364,0.2731254184333854,0.2723219262066659,0.25809810598598487
