attack_class,n,มี Port,ไม่มี Port (ปัจจุบัน)
BFA,295,0.9796610169491525,0.9389830508474576
DDoS,73529,0.9931727617674659,0.9931591616913055
DoS,1145,0.7388646288209607,0.6524017467248908
Normal,34212,0.9994154097977318,0.9994154097977318
Probe,61757,0.899622714833946,0.9945755137069482
U2R,17,1.0,1.0
