level,DecisionTree,RandomForest,XGBoost
raw,0.23703012606667712,1.4437992532954398,1.2568602343145532
no_id,0.1862968542051165,1.4044661826131204,1.5822907305768386
no_const,0.15467277370349294,1.2449850691842343,1.6780929202453019
no_port,0.1848083670674661,1.586260026225324,1.990391795964549
no_dup,0.15670103538096664,1.4424592025482477,2.033328843168454
no_expensive,0.1274777835014498,1.2259740331139648,1.987210664103138
shap_top15,0.09578885517334348,1.2937803537987251,2.0137125990838323
