,BFA,BOTNET,DDoS,DoS,Probe,U2R,Web-Attack
Src Port,0.14464977,0.0,0.0048271767,0.085827865,0.068230025,0.046262626,0.07793114
Dst Port,0.16344891,0.033231866,0.6424469,0.12340932,0.28349486,0.10250035,0.0050438354
