level,n_features,meta2ovs,ovs2meta,random,gap
raw,83,0.06876806901075981,0.37534594322201775,0.976811122456269,0.7547541163398802
no_id,79,0.4628012530046647,0.4808471659079768,0.9802475990523791,0.5084233895960584
no_const,67,0.452465694211471,0.4804885293987934,0.9922358652460921,0.5257587534409599
no_port,65,0.45353911579476724,0.46314642321700433,0.968380103645896,0.5100373341400102
no_dup,57,0.370233206695788,0.458765887049806,0.9399124912052071,0.5254129443324101
no_expensive,49,0.4629333453614616,0.4633971061935198,0.9271387049798911,0.46397347920240045
shap_top15,15,0.47437091778958373,0.4599436533995739,0.9775481221319124,0.5103908365373336
