,BFA,BOTNET,DDoS,DoS,Normal,Probe,U2R,Web-Attack
Subflow Fwd Pkts,0.0007571414,0.008570465,0.005267244,0.0026981425,0.00282338,0.0009844239,0.0,0.0
Subflow Fwd Byts,0.0048219147,0.0028423432,0.0,0.0037602577,8.729164e-06,0.006361002,0.013258248,0.005462522
Subflow Bwd Pkts,0.0,0.00075948716,0.0,0.0052492325,8.339069e-05,0.0,0.0,0.0035893216
Subflow Bwd Byts,6.058144e-06,0.0,0.0,0.0005716532,0.00017812185,0.0,0.0022928847,0.0
Init Bwd Win Byts,0.11081977,0.024118613,0.021742731,0.055220086,0.20511857,0.091336876,0.02937647,0.04355985
Fwd Act Data Pkts,0.0014370817,0.017691063,0.0,0.0002485259,0.0007386891,0.0035294888,0.00013372711,0.0
Active Mean,0.0,0.0,0.0030930126,5.7641802e-05,0.001521196,0.00014145458,0.0,0.0
Active Std,0.0,0.0,0.0,6.442014e-05,0.00017887793,0.0,0.0,0.0
Active Max,0.0,0.0,0.00030943452,0.0,6.690943e-05,8.019224e-05,0.0,0.0
Active Min,0.00073833147,4.170393e-05,0.0027630397,0.00018809352,0.0020068386,1.4985549e-05,0.0,0.0
Idle Mean,0.0,0.00023230343,0.0,0.0008865069,0.0040288023,0.0013336553,0.0,0.0
Idle Std,0.0,0.0,0.0,1.58719e-05,1.0077808e-05,0.0,0.0,0.0005729669
Idle Max,0.0,0.000113687776,0.0,0.0009958938,1.7803028e-05,0.00025411305,0.0,0.0
Idle Min,0.0016219334,0.0,0.0074158176,0.00042616122,0.002104101,0.0012941794,0.0,0.0
