variant,n_classes,best_model,f1,precision,recall,accuracy
attack_only,7,XGBoost,0.9563021162184241,0.953528204235454,0.9664394194683349,0.998729421160583
with_normal,8,XGBoost,0.9422604819442653,0.9491181862462481,0.9372546922707145,0.9989676931576957
