,BFA,BOTNET,DDoS,DoS,Normal,Probe,U2R,Web-Attack
Subflow Bwd Pkts,0.0023945735,0.0,0.0,0.0025217899,0.00071747595,0.00032290668,0.003380749,0.0213935
Subflow Bwd Byts,0.003152317,0.0,0.0,0.001413801,4.561315e-05,0.0,0.0,0.0010731348
Init Bwd Win Byts,0.14493135,0.24024813,0.030076105,0.10249739,0.19623867,0.15305887,0.017025603,0.1519408
Fwd Act Data Pkts,0.0,0.0,0.0,0.0029341036,0.00094193325,0.003693958,0.0013989271,0.0
Active Mean,0.0,0.002324537,0.0014098268,0.00028478666,0.0018449659,0.00052496576,0.0,0.0
Active Std,0.0,0.0012107639,1.640256e-05,5.541152e-05,3.7981674e-05,0.0,0.0,0.0007702556
Active Max,0.0,0.0,0.00031400495,7.226664e-05,0.00022881309,0.00011137075,0.00046327294,0.0
Active Min,0.0,0.0008381293,0.0030636434,0.00024451033,0.00032101094,0.00011823929,0.0027608396,0.0
Idle Mean,0.0,0.0,0.00024923644,0.000510216,0.0012246672,0.0016962783,0.0,0.0
Idle Std,0.0,0.00079190446,0.0,2.1954747e-05,0.0032738151,0.0,0.0,0.0006287088
Idle Max,0.0,0.0,0.0,0.0014017607,0.0009384445,0.00015765068,0.0,0.0
Idle Min,0.0,0.0,0.006090965,0.000877687,0.00026544905,0.0040449966,0.0,0.0
