,accuracy,precision,recall,f1,latency_ms_per_1k
XGBoost,0.9979351291275482,0.999875388494693,0.9975428358307189,0.9987077502040876,0.20446731011602753
RandomForest,0.9974262232751309,0.9999339793575458,0.9968481019138091,0.9983886561392201,0.7398496686332298
DecisionTree,0.9925477464829926,0.9998524083271222,0.9908295122967903,0.9953205118787006,0.13291070728109056
