variant,model,n_features,recall,precision,f1
ไม่มี Port (ปัจจุบัน),DecisionTree,65,0.9908295122967903,0.9998524083271222,0.9953205118787006
ไม่มี Port (ปัจจุบัน),RandomForest,65,0.9968481019138091,0.9999339793575458,0.9983886561392201
ไม่มี Port (ปัจจุบัน),XGBoost,65,0.9975428358307189,0.999875388494693,0.9987077502040876
มี Port,DecisionTree,67,0.9487652018750503,0.9998458657336405,0.9736360225140713
มี Port,RandomForest,67,0.9931477296826894,0.9999484585422603,0.996536491583381
มี Port,XGBoost,67,0.9979743021580629,0.9999120737408227,0.9989422482166451
