attack_class,เคยเห็น,n_test,all_features,attack7_dynamic,attack7_intersection,attack7_mean,attack7_union,binary_dynamic,binary_topk,normal8_dynamic,normal8_intersection,normal8_mean,normal8_union
BFA,ใช่,295,1.0,1.0,0.5050847457627119,1.0,1.0,1.0,1.0,1.0,0.5050847457627119,1.0,1.0
DDoS,ใช่,73529,0.9999727998476792,0.9999727998476792,0.7274952739735343,0.9994967971820642,0.9999727998476792,0.9999591997715187,0.9999591997715187,0.9999727998476792,0.7274952739735343,0.9999863999238395,0.9999591997715187
DoS,ใช่,1145,0.7397379912663755,0.7563318777292577,0.08558951965065502,0.7336244541484717,0.7825327510917031,0.7615720524017467,0.7842794759825328,0.7554585152838428,0.08558951965065502,0.7825327510917031,0.7449781659388647
Probe,ใช่,61757,0.9994332626260991,0.9998704600288226,0.7558495393234775,0.9999352300144113,0.9998542675324255,0.9992065676765387,0.9999352300144113,0.9998704600288226,0.7558495393234775,0.9998704600288226,0.9998704600288226
U2R,ไม่ (zero-shot),17,0.9411764705882353,1.0,0.5882352941176471,1.0,1.0,0.9411764705882353,1.0,1.0,0.5882352941176471,1.0,1.0
