attack_class,support,raw,no_id,no_const,no_port,no_dup,no_expensive,shap_top15
BFA,1110,0.010412792859799182,0.0,0.0,0.00477326968973747,0.0034873583260680036,0.0011028398125172319,0.0012437810945273632
DDoS,48413,0.0,0.9998244508927189,0.9998244508927189,0.9998244508927189,0.6003265943149467,0.9998244508927189,0.9998141263940521
DoS,52471,0.0,0.0015614288978597,0.0015978087194704405,0.00030486643039518313,0.0002994609702535436,0.013359573099193884,0.14561254768969903
Normal,34212,0.3334275521939999,0.6862158908507223,0.6482050115622275,0.5604726048161773,0.5763323082108102,0.6207597509846271,0.6060477190371139
Probe,36372,0.0,0.6264044943820225,0.6127011998829383,0.702320387144807,0.6707203116568616,0.679620112018251,0.6191364147325266
