attack_class,support,raw,no_id,no_const,no_port,no_dup,no_expensive,shap_top15
BFA,281,0.99644128113879,0.985663082437276,0.9946714031971581,0.9059500959692899,0.8978805394990366,0.9034749034749034,0.8688845401174168
BOTNET,33,1.0,1.0,0.9705882352941176,1.0,0.9705882352941176,0.9705882352941176,0.9552238805970149
DDoS,24389,1.0,0.9999794985341451,0.9999794985341451,0.9999794985341451,0.9999794985341451,0.9999794985341451,0.9999589979088933
DoS,10723,0.9999533734321816,0.9997203057989931,0.9995804782547896,0.9991609956185327,0.9990678598061148,0.9991609173969793,0.9988349876508691
Normal,13685,0.9999634623113742,0.9997807498355624,0.9995614355675755,0.9997442174882157,0.9997076450811285,0.9996711367705631,0.9996710886964149
Probe,19626,0.9999490445859872,0.9996942986701992,0.9998216605946345,0.9983964977474611,0.9983964977474611,0.998447402580875,0.9978114820846905
U2R,3,0.8571428571428571,0.8571428571428571,1.0,0.8571428571428571,0.6666666666666666,0.5714285714285714,1.0
Web-Attack,38,0.961038961038961,1.0,0.9736842105263158,0.9866666666666667,0.987012987012987,0.9743589743589743,1.0
