,n_features,f1,precision,recall,accuracy,latency_ms_per_1k,f1_เทียบ_full_%
intersection_top15,2.0,0.7636763857033465,0.9629357604629564,0.6959228767850301,0.9713212204817309,0.9883825388936616,79.8572305500283
global_mean_top15,15.0,0.9377112041084423,0.9301105784422281,0.9623311092550653,0.9985116076452544,0.8837722754492195,98.05595827984808
union_top15,37.0,0.906100097351475,0.9041158544643665,0.9197838586759685,0.9986749677817509,0.8068674766523265,94.75040178040527
dynamic_k,40.0,0.942137974433607,0.9327188789469049,0.967925852651672,0.9987475722868604,0.823687511767006,98.51886328132082
all_features,65.0,0.9563021162184241,0.953528204235454,0.9664394194683349,0.998729421160583,0.9143221467825885,100.0
